Year,Author,Title,Url
"1992","Bawden D.","Erratum: Classification of chemical reactions: Potential, possibilities, and continuing relevance (Journal of Chemical Information and Computer Sciences (1991) 31 (212-216))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751391040&origin=inward
"1968","Goodman A.","The Interface of Computer Science and Statistics: An Historical Perspective",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84906272430&origin=inward
"2009","Dadam P.","Computer Science - Research and Development: Editorial",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=67349154813&origin=inward
"1992","Balaban A.","Erratum: Correlations between chemical structure and normal boiling points of halogenated alkanes C1-C4 (Journal of Chemical Information and Computer Sciences (1992) 32, (233-237))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751390765&origin=inward
"1973","","COMPUTER SCIENCE AND STATISTICS.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0015532404&origin=inward
"2000","Nichols J.","Assessment of Physical Activity with the Computer Science and Applications, Inc., Accelerometer: Laboratory Versus Field Validation",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0034155011&origin=inward
"2011","Eden A.","Some philosophical issues in computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79959535387&origin=inward
"2012","Sun Y.","Teaching research on cryptography in computer science and technology specialty",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84860664782&origin=inward
"2010","Park J.","Special issue of computers and mathematics with applications on "advances in cryptography, security and applications for future computer science"",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77955714408&origin=inward
"1980","","COMPUTER SCIENCE &amp; TECHNOLOGY: COMPUTER PERFORMANCE EVALUATION USERS GROUP (CPEUG), PROCEEDINGS OF THE 14TH MEETING, 1978.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0018807910&origin=inward
"2012","Mirzapour F.","Hedges and boosters in native and non-native Library and Information and Computer Science research articles",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84864425452&origin=inward
"2014","Fan L.","Methods for improving the professional level of students majoring in information and computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84899645416&origin=inward
"1995","Hofestaedt R.","Computer science, supercomputing and biology-bioinformatics",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=17044443932&origin=inward
"2009","Xu Y.","Journal of Computer Science and Technology: Preface",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=75749104617&origin=inward
"1983","","PROBABILITY THEORY AND COMPUTER SCIENCE.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0020979104&origin=inward
"1982","Powell P.","COMPUTER SCIENCE AND TECHNOLOGY: PLANNING FOR SOFTWARE VALIDATION, VERIFICATION, AND TESTING.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0020209250&origin=inward
"1998","Rimer M.","BioABACUS: A database of abbreviations and acronyms in biotechnology and computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0032420198&origin=inward
"1991","Wirth N.","Perspectives on computer science education",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0026369720&origin=inward
"2005","Cleveland W.","Learning from data: Unifying statistics and computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33750695983&origin=inward
"2012","Kuhlthau C.","Crossing the divide: Putting information seeking research and theory into computer science practice to make information search systems and services more effective for the user",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84878545032&origin=inward
"2012","Vigo-Aguiar J.","Computer science and mathematics for chemistry-related applications",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84855888741&origin=inward
"2009","Yu L.","Pansystems variation theory and its application to computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=71849094999&origin=inward
"2015","Varma R.","Decoding femininity in computer science in India",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84928939756&origin=inward
"2006","Dagiene V.","Information technology contests - Introduction to computer science in an attractive way",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33646056968&origin=inward
"2009","Mellstr??m U.","The intersection of gender, race and cultural boundaries, or why is computer science in Malaysia dominated by women?",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=70450213114&origin=inward
"2011","Abramson D.","Philosophy of mind is (in part) philosophy of computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=79959549357&origin=inward
"2015","Li K.","Big data cloud and the frontier of computer science and technology",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84957063886&origin=inward
"2009","Li X.","Pansystems field problem in computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954490089&origin=inward
"1993","Ruller T.","A review of information science and computer science literature to support archival work with electronic records",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=52849125676&origin=inward
"2016","Bowlick F.","Computer Science and Programming Courses in Geography Departments in the United States",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84973601359&origin=inward
"2007","Feitelson D.","Experimental computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=36049045061&origin=inward
"2008","Fieldaas S.","A framework for exercises in computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=54949142153&origin=inward
"1991","Rasmussen B.","Excluding women from the technologies of the future?. A case study of the culture of computer science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34247831754&origin=inward
